z,dmdom,dmdwo,dmdwa,dmdM
0.05,-0.08132103891602209,-0.05418628799457634,-0.0008690788783121049,1.0
0.15,-0.24204552598892373,-0.14674951053322036,-0.006558987741859455,1.0
0.25,-0.3977910057998378,-0.22066194654831622,-0.015323813190063554,1.0
0.35,-0.5463404977589651,-0.2787890265634636,-0.025348223024359587,1.0
0.45,-0.686246816511554,-0.3238166334151091,-0.03550221332006619,1.0
0.5499999999999999,-0.8167335070283945,-0.3581548584050591,-0.04512808609915427,1.0
0.65,-0.9375549835986215,-0.38389083659979134,-0.05388269928621552,1.0
0.75,-1.048852171290645,-0.40278199573323614,-0.06162396546066419,1.0
0.85,-1.1510247647199534,-0.4162763767936325,-0.06833200198861876,1.0
0.95,-1.244628824827693,-0.4255476128325847,-0.074056321649667,1.0
1.0499999999999998,-1.3303004967828043,-0.43153531682761015,-0.07888176365767052,1.0
1.15,-1.4087025890955673,-0.434984999869998,-0.0829073849934518,1.0
