zlow zhi meanz CORmeanz fout stdd bias IQR IQRstdd IQRbias CORstdd CORbias CORIQR CORIQRstdd CORIQRbias estdd ebias eIQR eIQRstdd eIQRbias eCORstdd eCORbias eCORIQR eCORIQRstdd eCORIQRbias 
0.000 0.300 0.2212 0.2230 0.1980 0.4992 0.1535 0.0392 0.0291 0.0089 0.0688 0.0260 0.0308 0.0229 0.0064 0.0195 0.0108 0.0024 0.0018 0.0006 0.0025 0.0015 0.0010 0.0007 0.0006 
0.150 0.450 0.3289 0.3301 0.1672 0.3712 0.0881 0.0361 0.0268 0.0070 0.0536 0.0154 0.0333 0.0247 0.0055 0.0121 0.0050 0.0007 0.0005 0.0004 0.0012 0.0008 0.0006 0.0005 0.0004 
0.300 0.600 0.4535 0.4544 0.1312 0.2548 0.0355 0.0297 0.0220 0.0020 0.0434 -0.0004 0.0287 0.0213 0.0014 0.0108 0.0031 0.0006 0.0005 0.0003 0.0008 0.0005 0.0006 0.0004 0.0003 
0.450 0.750 0.6010 0.6016 0.0694 0.1303 0.0063 0.0206 0.0153 0.0003 0.0353 -0.0035 0.0205 0.0152 0.0002 0.0094 0.0015 0.0004 0.0003 0.0002 0.0008 0.0004 0.0004 0.0003 0.0002 
0.600 0.900 0.7461 0.7461 0.0217 0.0360 0.0015 0.0201 0.0149 0.0008 0.0223 0.0009 0.0201 0.0149 0.0007 0.0056 0.0004 0.0003 0.0002 0.0002 0.0005 0.0003 0.0003 0.0002 0.0002 
0.750 1.050 0.8882 0.8883 0.0213 0.0380 0.0018 0.0202 0.0150 0.0003 0.0288 0.0012 0.0202 0.0150 0.0003 0.0047 0.0005 0.0003 0.0003 0.0002 0.0015 0.0003 0.0003 0.0002 0.0002 
0.900 1.200 1.0381 1.0381 0.0361 0.0386 0.0041 0.0206 0.0153 0.0006 0.0386 0.0041 0.0206 0.0153 0.0006 0.0019 0.0005 0.0005 0.0003 0.0002 0.0019 0.0005 0.0005 0.0004 0.0002 
1.050 1.350 1.1890 1.1890 0.0613 0.0415 0.0045 0.0270 0.0200 0.0010 0.0415 0.0045 0.0270 0.0200 0.0010 0.0019 0.0006 0.0006 0.0004 0.0003 0.0018 0.0006 0.0006 0.0005 0.0003 
1.200 1.500 1.3421 1.3421 0.0693 0.0371 0.0017 0.0320 0.0237 -0.0003 0.0371 0.0017 0.0320 0.0237 -0.0003 0.0013 0.0006 0.0008 0.0006 0.0004 0.0013 0.0007 0.0008 0.0006 0.0005 
1.350 1.650 1.4875 1.4875 0.0826 0.0358 -0.0007 0.0365 0.0271 -0.0003 0.0358 -0.0007 0.0365 0.0271 -0.0003 0.0008 0.0007 0.0009 0.0006 0.0006 0.0008 0.0007 0.0008 0.0006 0.0006 
1.500 1.800 1.6375 1.6375 0.1032 0.0440 -0.0046 0.0401 0.0297 -0.0014 0.0440 -0.0046 0.0401 0.0297 -0.0014 0.0015 0.0010 0.0014 0.0010 0.0007 0.0015 0.0010 0.0014 0.0010 0.0007 
1.650 1.950 1.7788 1.7788 0.0988 0.0516 -0.0075 0.0419 0.0311 -0.0029 0.0516 -0.0075 0.0419 0.0311 -0.0029 0.0024 0.0014 0.0015 0.0011 0.0009 0.0025 0.0014 0.0015 0.0011 0.0009 
1.800 2.100 1.9324 1.9322 0.1189 0.0627 -0.0108 0.0439 0.0325 -0.0037 0.0580 -0.0098 0.0434 0.0322 -0.0037 0.0045 0.0020 0.0020 0.0015 0.0011 0.0031 0.0018 0.0020 0.0015 0.0010 
1.950 2.250 2.0823 2.0820 0.1248 0.0729 -0.0135 0.0422 0.0312 -0.0047 0.0548 -0.0097 0.0419 0.0311 -0.0044 0.0078 0.0027 0.0019 0.0014 0.0012 0.0038 0.0019 0.0019 0.0014 0.0012 
2.100 2.400 2.2334 2.2326 0.1052 0.0851 -0.0139 0.0371 0.0275 -0.0041 0.0422 -0.0051 0.0358 0.0266 -0.0035 0.0114 0.0034 0.0019 0.0014 0.0013 0.0040 0.0018 0.0018 0.0013 0.0012 
2.250 2.550 2.3938 2.3895 0.1535 0.1642 -0.0398 0.0451 0.0334 -0.0013 0.0457 0.0017 0.0411 0.0305 0.0016 0.0119 0.0072 0.0020 0.0015 0.0016 0.0049 0.0021 0.0019 0.0014 0.0015 
2.400 2.700 2.5486 2.5450 0.2628 0.2335 -0.0883 0.0524 0.0388 -0.0036 0.0466 0.0064 0.0416 0.0308 0.0041 0.0106 0.0109 0.0046 0.0034 0.0021 0.0045 0.0023 0.0024 0.0018 0.0017 
2.550 2.850 2.6978 2.6990 0.2992 0.2466 -0.1069 0.0623 0.0462 -0.0102 0.0454 0.0028 0.0462 0.0342 -0.0005 0.0097 0.0112 0.0064 0.0048 0.0023 0.0024 0.0023 0.0041 0.0030 0.0018 
