zbin1 zbin2 meanz CORmeanz F CORb err_CORb CORs err_CORs CORIQRs outlier_bias err_CORIQRs err_CORIQRb z_true z_photo
0.0 0.1 0.0763 0.0768 0.1568 0.0191 0.0035 0.0573 0.0116 0.0185 0.0086 0.0018 0.0013 0.05 0.7541901111111111
0.1 0.2 0.1645 0.1655 0.1015 0.0106 0.0019 0.0498 0.0055 0.0153 0.0035 0.0009 0.0007 0.15000000000000002 0.8460428947368421
0.2 0.3 0.2534 0.2537 0.077 0.0104 0.0009 0.0432 0.0018 0.0158 0.0022 0.0005 0.0004 0.25 0.9570584736842104
0.3 0.4 0.354 0.354 0.0932 0.0106 0.0006 0.0333 0.0007 0.0209 0.0045 0.0006 0.0004 0.35 1.0653457625
0.4 0.5 0.4504 0.4504 0.0502 -0.0045 0.0005 0.0281 0.0007 0.0192 -0.0011 0.0005 0.0004 0.45 1.1356703454545454
0.5 0.6 0.5502 0.5502 0.0328 -0.0045 0.0006 0.0328 0.0016 0.0122 0.0 0.0003 0.0003 0.55 1.2654672173913044
0.6 0.7 0.6474 0.6474 0.001 0.0001 0.0002 0.0127 0.0009 0.0095 0.0002 0.0002 0.0002 0.65 1.3459003523809523
0.7 0.8 0.7504 0.7504 0.0078 0.0027 0.0003 0.018 0.0015 0.013 0.0011 0.0003 0.0002 0.75 1.454901313253012
0.8 0.9 0.848 0.848 0.0066 -0.0007 0.0004 0.0192 0.0008 0.0152 -0.0002 0.0004 0.0003 0.8500000000000001 1.550084663043478
0.9 1.0 0.9479 0.9479 0.0071 0.0008 0.0005 0.0238 0.0024 0.0113 0.0002 0.0003 0.0002 0.9500000000000001 1.6487523125
1.0 1.1 1.0481 1.0481 0.0355 0.0061 0.0007 0.0313 0.0025 0.0121 0.0012 0.0004 0.0003 1.05 1.7477181320754718
1.1 1.2 1.1492 1.1492 0.0291 0.0038 0.0006 0.0254 0.0015 0.02 0.0016 0.0005 0.0005 1.1500000000000001 1.8530462698412695
