zbin1 zbin2 meanz CORmeanz F outlier_bias CORIQRbias z_true z_photo
0.0 0.1 0.077 0.0769 0.0877 0.1228 0.003 0.05 0.0747627142857143
0.1 0.2 0.1628 0.1638 0.0985 0.0938 0.0012 0.15000000000000002 0.1622120476190476
0.2 0.3 0.2528 0.253 0.0531 0.1263 0.0004 0.25 0.2544863155555556
0.3 0.4 0.3535 0.3535 0.0698 0.0692 0.0021 0.35 0.354929426150121
0.4 0.5 0.4507 0.4507 0.0725 -0.0844 -0.005 0.45 0.4534797657480315
0.5 0.6 0.5518 0.5518 0.0373 -0.1395 -0.0013 0.55 0.5460549102040817
0.6 0.7 0.6478 0.6478 0.0023 0.0893 -0.0005 0.65 0.6479222
0.7 0.8 0.7505 0.7505 0.0062 0.0695 0.0006 0.75 0.7533717916666666
0.8 0.9 0.8484 0.8484 0.0067 -0.0151 -0.0013 0.8500000000000001 0.8521566363636364
0.9 1.0 0.9472 0.9472 0.0072 0.1237 -0.0008 0.9500000000000001 0.9626727500000002
1.0 1.1 1.0484 1.0484 0.0413 0.1389 0.0009 1.05 1.0654534454976303
1.1 1.2 1.1493 1.1493 0.0311 0.0728 0.002 1.1500000000000001 1.1340640373134327
