z,dmdom,dmdwo,dmdwa,dmdM
0.3,-0.47307288926709684,-0.2515252049373211,-0.02026246112064671,1.0
0.6,-0.8783510378010008,-0.3719807006950638,-0.04962682183668335,1.0
1.0,-1.2884149188520937,-0.42890121026793804,-0.07657536494953907,1.0
1.4,-1.5771192358266544,-0.4360571011119406,-0.09012033920882587,1.0
1.8,-1.78268240021252,-0.42611215790873647,-0.0958550406354882,1.0
2.0,-1.8635274436956824,-0.418936499062061,-0.09706434342498847,1.0
2.6,-2.047147230008308,-0.39605794497165664,-0.0973684696976277,1.0
3.0,-2.1357200250605577,-0.3818704479937461,-0.09622043732417973,1.0
3.3,-2.190100641066148,-0.37218677625121005,-0.09507830082442828,1.0
4.0,-2.2889825171755622,-0.35276668505548303,-0.0921331246972143,1.0
