Bin N_G z_true_mean_G z_phot_mean_G N_R z_true_mean_R z_phot_mean_R fout COR_Outlier_Bias
0.024999999999999998 74 0.03931216216216218 0.06512432432432431 0 0.0 0.0 0.0 0.0
0.075 1230 0.08240455284552856 0.08903682926829266 2 0.57405 0.08655 0.0016260162601626016 0.4486678017578574
0.12499999999999999 960 0.13115999999999994 0.13132916666666664 9 0.7965666666666666 0.13465555555555556 0.009375 0.5833586306172212
0.175 1515 0.17782277227722768 0.18598739273927417 44 0.4995068181818183 0.17755681818181815 0.029042904290429043 0.2734050663449941
0.22499999999999998 3753 0.2183460431654673 0.23421588062883011 225 0.49669555555555567 0.21848044444444434 0.05995203836930456 0.2283295660423677
0.27499999999999997 5961 0.27164943801375646 0.2841202986076143 406 0.4831559113300489 0.2719059113300492 0.06810937762120449 0.16608932950008284
0.325 5047 0.32050978799286656 0.3294981771349309 351 0.4702957264957265 0.32238034188034187 0.06954626510798494 0.11185540190733494
0.375 4114 0.37842566844919784 0.40075272241127824 289 0.4724190311418684 0.3748948096885811 0.07024793388429752 0.07093213296468616
0.425 6569 0.42654356827523515 0.43341510123306526 249 0.3895349397590361 0.4263088353413654 0.0379053128330035 -0.02578256172235519
0.475 8744 0.47279509377858786 0.4592531678865494 541 0.3769478743068393 0.47578927911275465 0.06187099725526075 -0.06697528312804851
0.5249999999999999 7517 0.5288594119994665 0.5117566050285989 317 0.38821640378548905 0.5239173501577289 0.0421710788878542 -0.08904744496687729
0.575 8507 0.5773133654637325 0.5693022569648541 161 0.47039627329192557 0.573058385093168 0.018925590690019985 -0.06526274725344158
0.625 10466 0.6276894897764297 0.6242888400535068 93 0.5678623655913978 0.6292548387096778 0.0088859163004013 -0.03768132011005783
0.6749999999999999 6803 0.6724079817727492 0.6708215199176846 56 0.6630214285714287 0.672025 0.008231662501837425 -0.00538483062667803
0.725 6438 0.7278296831313997 0.7300402143522816 73 0.7151794520547944 0.7309726027397259 0.01133892513202858 -0.009123859418649726
0.7749999999999999 8143 0.7753526587252673 0.7766202628024096 107 0.7010299065420563 0.772747663551402 0.013140120348765811 -0.04045570527825218
0.825 7634 0.8256375556720035 0.8206764474718384 77 0.7331363636363637 0.8231454545454545 0.010086455331412104 -0.04937021930130738
0.875 5109 0.872927970248586 0.8646291250733983 114 0.7554903508771933 0.8730464912280701 0.022313564298297124 -0.0627619981145266
0.9249999999999999 6477 0.9324163347228698 0.9302803612783704 77 0.828935064935065 0.9311974025974027 0.011888219854871082 -0.05295281441700261
0.975 7078 0.9745486578129372 0.9731268013563159 42 0.9359928571428572 0.9749928571428571 0.00593387962701328 -0.019746906860422603
1.025 4823 1.0246995023844043 1.023155256064693 13 1.058676923076923 1.027023076923077 0.0026954177897574125 0.015615927866936295
1.0749999999999997 4184 1.0731547323135782 1.072745578393885 20 1.09563 1.0761749999999999 0.004780114722753346 0.009370597372572264
1.1249999999999998 3824 1.127466684100421 1.1270073221757346 18 1.0224055555555556 1.128822222222222 0.004707112970711297 -0.04998851738572176
1.1749999999999998 3280 1.173956768292684 1.167497500000001 21 1.0175952380952382 1.1776 0.0064024390243902435 -0.07347757251320801
