zlow zhi meanz CORmeanz fout CORfout stdd bias outbias IQR IQRstdd IQRbias CORstdd CORbias CORoutbias CORIQR CORIQRstdd CORIQRbias estdd ebias eoutbias eIQR eIQRstdd eIQRbias eCORstdd eCORbias eCORoutbias eCORIQR eCORIQRstdd eCORIQRbias 
0.0000 0.1000 0.0770 0.0769 0.0877 0.0412 0.4787 0.1157 1.2867 0.0246 0.0182 0.0042 0.0351 0.0080 0.1228 0.0230 0.0171 0.0030 0.0455 0.0214 0.1536 0.0015 0.0011 0.0009 0.0052 0.0016 0.0217 0.0015 0.0011 0.0008 
0.1000 0.2000 0.1628 0.1638 0.0985 0.0445 0.4868 0.1230 1.2443 0.0217 0.0161 0.0024 0.0448 0.0046 0.0938 0.0199 0.0148 0.0012 0.0248 0.0128 0.0854 0.0008 0.0006 0.0004 0.0039 0.0012 0.0220 0.0007 0.0005 0.0004 
0.2000 0.3000 0.2528 0.2530 0.0531 0.0444 0.1930 0.0233 0.4441 0.0193 0.0143 0.0005 0.0378 0.0054 0.1263 0.0191 0.0141 0.0004 0.0135 0.0026 0.0437 0.0004 0.0003 0.0002 0.0013 0.0006 0.0067 0.0004 0.0003 0.0002 
0.3000 0.4000 0.3535 0.3535 0.0698 0.0678 0.0926 0.0104 0.1246 0.0248 0.0184 0.0022 0.0310 0.0064 0.0692 0.0247 0.0183 0.0021 0.0118 0.0012 0.0158 0.0005 0.0004 0.0003 0.0005 0.0004 0.0032 0.0005 0.0004 0.0003 
0.4000 0.5000 0.4507 0.4507 0.0725 0.0721 0.0449 -0.0094 -0.0750 0.0286 0.0212 -0.0050 0.0319 -0.0101 -0.0844 0.0286 0.0212 -0.0050 0.0065 0.0005 0.0060 0.0005 0.0004 0.0003 0.0005 0.0004 0.0023 0.0005 0.0004 0.0003 
0.5000 0.6000 0.5518 0.5518 0.0373 0.0367 0.0479 -0.0052 -0.1149 0.0162 0.0120 -0.0013 0.0335 -0.0060 -0.1395 0.0162 0.0120 -0.0013 0.0061 0.0006 0.0131 0.0003 0.0002 0.0002 0.0011 0.0004 0.0055 0.0003 0.0002 0.0002 
0.6000 0.7000 0.6478 0.6478 0.0023 0.0022 0.0201 -0.0003 0.1520 0.0129 0.0096 -0.0005 0.0152 -0.0004 0.0893 0.0129 0.0096 -0.0005 0.0045 0.0002 0.0782 0.0002 0.0001 0.0001 0.0023 0.0002 0.0491 0.0002 0.0001 0.0001 
0.7000 0.8000 0.7505 0.7505 0.0062 0.0062 0.0169 0.0017 0.0695 0.0164 0.0121 0.0006 0.0169 0.0017 0.0695 0.0164 0.0121 0.0006 0.0009 0.0002 0.0100 0.0002 0.0002 0.0001 0.0009 0.0002 0.0102 0.0002 0.0002 0.0002 
0.8000 0.9000 0.8484 0.8484 0.0067 0.0067 0.0200 -0.0018 -0.0151 0.0202 0.0150 -0.0013 0.0200 -0.0018 -0.0151 0.0202 0.0150 -0.0013 0.0010 0.0002 0.0182 0.0003 0.0002 0.0002 0.0010 0.0002 0.0183 0.0003 0.0002 0.0002 
0.9000 1.0000 0.9472 0.9472 0.0072 0.0072 0.0264 -0.0005 0.1237 0.0150 0.0111 -0.0008 0.0264 -0.0005 0.1237 0.0150 0.0111 -0.0008 0.0022 0.0003 0.0370 0.0002 0.0002 0.0001 0.0022 0.0003 0.0365 0.0002 0.0002 0.0002 
1.0000 1.1000 1.0484 1.0484 0.0413 0.0413 0.0369 0.0069 0.1389 0.0162 0.0120 0.0009 0.0369 0.0069 0.1389 0.0162 0.0120 0.0009 0.0020 0.0005 0.0069 0.0003 0.0002 0.0002 0.0020 0.0005 0.0069 0.0003 0.0002 0.0002 
1.1000 1.2000 1.1493 1.1493 0.0311 0.0311 0.0299 0.0046 0.0728 0.0263 0.0195 0.0020 0.0299 0.0046 0.0728 0.0263 0.0195 0.0020 0.0019 0.0005 0.0090 0.0005 0.0004 0.0003 0.0018 0.0005 0.0091 0.0005 0.0004 0.0003 
1.2000 1.3000 1.2503 1.2503 0.0546 0.0546 0.0383 -0.0030 0.0021 0.0265 0.0196 -0.0027 0.0383 -0.0030 0.0021 0.0265 0.0196 -0.0027 0.0018 0.0006 0.0091 0.0006 0.0004 0.0003 0.0018 0.0006 0.0093 0.0006 0.0004 0.0003 
1.3000 1.4000 1.3490 1.3490 0.0646 0.0644 0.0370 0.0052 0.0263 0.0283 0.0210 0.0030 0.0352 0.0050 0.0234 0.0283 0.0209 0.0030 0.0022 0.0006 0.0077 0.0006 0.0004 0.0004 0.0013 0.0006 0.0076 0.0006 0.0005 0.0004 
1.4000 1.5000 1.4495 1.4495 0.0397 0.0397 0.0310 -0.0002 0.0137 0.0338 0.0250 -0.0009 0.0310 -0.0002 0.0137 0.0338 0.0250 -0.0009 0.0009 0.0005 0.0090 0.0008 0.0006 0.0005 0.0009 0.0005 0.0089 0.0008 0.0006 0.0005 
1.5000 1.6000 1.5496 1.5496 0.0652 0.0652 0.0343 -0.0037 -0.0246 0.0351 0.0260 -0.0026 0.0343 -0.0037 -0.0246 0.0351 0.0260 -0.0026 0.0011 0.0007 0.0071 0.0009 0.0006 0.0005 0.0011 0.0007 0.0075 0.0009 0.0006 0.0006 
1.6000 1.7000 1.6501 1.6501 0.0649 0.0649 0.0366 -0.0023 -0.0248 0.0363 0.0269 -0.0012 0.0366 -0.0023 -0.0248 0.0363 0.0269 -0.0012 0.0013 0.0007 0.0079 0.0009 0.0006 0.0006 0.0014 0.0007 0.0080 0.0009 0.0007 0.0006 
1.7000 1.8000 1.7487 1.7487 0.0738 0.0738 0.0371 -0.0058 -0.0356 0.0394 0.0292 -0.0049 0.0371 -0.0058 -0.0356 0.0394 0.0292 -0.0049 0.0013 0.0008 0.0085 0.0009 0.0007 0.0007 0.0013 0.0008 0.0080 0.0009 0.0007 0.0007 
1.8000 1.9000 1.8486 1.8486 0.0985 0.0985 0.0376 -0.0064 -0.0339 0.0387 0.0287 -0.0048 0.0376 -0.0064 -0.0339 0.0387 0.0287 -0.0048 0.0013 0.0009 0.0070 0.0011 0.0008 0.0008 0.0013 0.0009 0.0067 0.0010 0.0008 0.0008 
