zlow zhi meanz CORmeanz fout CORfout stdd bias outbias IQR IQRstdd IQRbias CORstdd CORbias CORoutbias CORIQR CORIQRstdd CORIQRbias estdd ebias eoutbias eIQR eIQRstdd eIQRbias eCORstdd eCORbias eCORoutbias eCORIQR eCORIQRstdd eCORIQRbias 
0.0000 0.1000 0.0763 0.0768 0.1568 0.0868 0.5930 0.1889 1.1639 0.0324 0.0240 0.0112 0.0573 0.0191 0.1393 0.0249 0.0185 0.0086 0.0554 0.0340 0.1587 0.0032 0.0024 0.0015 0.0116 0.0035 0.0289 0.0024 0.0018 0.0013 
0.1000 0.2000 0.1645 0.1655 0.1015 0.0542 0.4574 0.1146 1.1015 0.0227 0.0168 0.0047 0.0498 0.0106 0.1403 0.0207 0.0153 0.0035 0.0350 0.0169 0.1180 0.0011 0.0008 0.0007 0.0055 0.0019 0.0250 0.0012 0.0009 0.0007 
0.2000 0.3000 0.2534 0.2537 0.0770 0.0648 0.2296 0.0363 0.4503 0.0217 0.0161 0.0025 0.0432 0.0104 0.1352 0.0213 0.0158 0.0022 0.0196 0.0047 0.0523 0.0006 0.0004 0.0004 0.0018 0.0009 0.0070 0.0006 0.0005 0.0004 
0.3000 0.4000 0.3540 0.3540 0.0932 0.0913 0.0947 0.0146 0.1180 0.0284 0.0210 0.0046 0.0333 0.0106 0.0764 0.0282 0.0209 0.0045 0.0176 0.0018 0.0173 0.0008 0.0006 0.0004 0.0007 0.0006 0.0034 0.0008 0.0006 0.0004 
0.4000 0.5000 0.4504 0.4504 0.0502 0.0502 0.0281 -0.0045 -0.0655 0.0259 0.0192 -0.0011 0.0281 -0.0045 -0.0655 0.0259 0.0192 -0.0011 0.0007 0.0005 0.0049 0.0006 0.0005 0.0004 0.0007 0.0005 0.0051 0.0006 0.0005 0.0004 
0.5000 0.6000 0.5502 0.5502 0.0328 0.0328 0.0328 -0.0045 -0.1561 0.0164 0.0122 0.0000 0.0328 -0.0045 -0.1561 0.0164 0.0122 0.0000 0.0016 0.0006 0.0059 0.0004 0.0003 0.0002 0.0016 0.0006 0.0060 0.0004 0.0003 0.0003 
0.6000 0.7000 0.6474 0.6474 0.0010 0.0007 0.0228 0.0004 0.2820 0.0129 0.0096 0.0002 0.0127 0.0001 -0.0984 0.0129 0.0095 0.0002 0.0076 0.0004 nan 0.0003 0.0002 0.0002 0.0009 0.0002 nan 0.0003 0.0002 0.0002 
0.7000 0.8000 0.7504 0.7504 0.0078 0.0078 0.0180 0.0027 0.0749 0.0175 0.0130 0.0011 0.0180 0.0027 0.0749 0.0175 0.0130 0.0011 0.0014 0.0003 0.0157 0.0004 0.0003 0.0002 0.0015 0.0003 0.0159 0.0004 0.0003 0.0002 
0.8000 0.9000 0.8480 0.8480 0.0066 0.0066 0.0192 -0.0007 -0.0294 0.0205 0.0152 -0.0002 0.0192 -0.0007 -0.0294 0.0205 0.0152 -0.0002 0.0009 0.0004 0.0221 0.0005 0.0004 0.0003 0.0008 0.0004 0.0218 0.0005 0.0004 0.0003 
0.9000 1.0000 0.9479 0.9479 0.0071 0.0071 0.0238 0.0008 0.1529 0.0153 0.0113 0.0002 0.0238 0.0008 0.1529 0.0153 0.0113 0.0002 0.0022 0.0004 0.0408 0.0004 0.0003 0.0002 0.0024 0.0005 0.0414 0.0004 0.0003 0.0002 
1.0000 1.1000 1.0481 1.0481 0.0355 0.0355 0.0313 0.0061 0.1229 0.0163 0.0121 0.0012 0.0313 0.0061 0.1229 0.0163 0.0121 0.0012 0.0025 0.0007 0.0101 0.0005 0.0004 0.0003 0.0025 0.0007 0.0097 0.0005 0.0004 0.0003 
1.1000 1.2000 1.1492 1.1492 0.0291 0.0291 0.0254 0.0038 0.0702 0.0270 0.0200 0.0016 0.0254 0.0038 0.0702 0.0270 0.0200 0.0016 0.0015 0.0006 0.0090 0.0007 0.0005 0.0005 0.0015 0.0006 0.0091 0.0007 0.0005 0.0005 
1.2000 1.3000 1.2496 1.2496 0.0503 0.0503 0.0312 -0.0043 -0.0248 0.0270 0.0200 -0.0022 0.0312 -0.0043 -0.0248 0.0270 0.0200 -0.0022 0.0021 0.0007 0.0105 0.0010 0.0008 0.0005 0.0021 0.0007 0.0100 0.0010 0.0008 0.0005 
1.3000 1.4000 1.3494 1.3494 0.0667 0.0667 0.0333 0.0046 0.0229 0.0284 0.0211 0.0022 0.0333 0.0046 0.0229 0.0284 0.0211 0.0022 0.0015 0.0008 0.0097 0.0010 0.0007 0.0006 0.0014 0.0008 0.0096 0.0010 0.0007 0.0006 
1.4000 1.5000 1.4519 1.4519 0.0549 0.0549 0.0339 0.0008 0.0110 0.0351 0.0261 0.0008 0.0339 0.0008 0.0110 0.0351 0.0261 0.0008 0.0014 0.0009 0.0115 0.0011 0.0008 0.0007 0.0014 0.0009 0.0116 0.0011 0.0008 0.0007 
1.5000 1.6000 1.5505 1.5505 0.0765 0.0765 0.0367 0.0012 0.0007 0.0351 0.0261 0.0012 0.0367 0.0012 0.0007 0.0351 0.0261 0.0012 0.0016 0.0011 0.0108 0.0013 0.0010 0.0008 0.0016 0.0011 0.0104 0.0013 0.0010 0.0008 
1.6000 1.7000 1.6491 1.6491 0.0828 0.0828 0.0385 -0.0008 -0.0122 0.0385 0.0285 0.0003 0.0385 -0.0008 -0.0122 0.0385 0.0285 0.0003 0.0020 0.0011 0.0102 0.0013 0.0010 0.0009 0.0019 0.0011 0.0106 0.0014 0.0010 0.0009 
1.7000 1.8000 1.7467 1.7467 0.0611 0.0611 0.0370 -0.0041 -0.0283 0.0387 0.0287 -0.0036 0.0370 -0.0041 -0.0283 0.0387 0.0287 -0.0036 0.0026 0.0013 0.0147 0.0015 0.0011 0.0011 0.0027 0.0012 0.0147 0.0015 0.0011 0.0010 
1.8000 1.9000 1.8464 1.8464 0.0873 0.0873 0.0431 -0.0048 -0.0371 0.0374 0.0277 -0.0024 0.0431 -0.0048 -0.0371 0.0374 0.0277 -0.0024 0.0029 0.0016 0.0149 0.0022 0.0016 0.0011 0.0029 0.0016 0.0146 0.0021 0.0016 0.0011 
1.9000 2.0000 1.9502 1.9502 0.1000 0.1000 0.0448 -0.0061 -0.0205 0.0371 0.0275 -0.0049 0.0448 -0.0061 -0.0205 0.0371 0.0275 -0.0049 0.0035 0.0020 0.0169 0.0022 0.0016 0.0013 0.0037 0.0020 0.0171 0.0023 0.0017 0.0013 
2.0000 2.1000 2.0508 2.0508 0.0835 0.0835 0.0420 0.0003 -0.0051 0.0342 0.0253 0.0027 0.0420 0.0003 -0.0051 0.0342 0.0253 0.0027 0.0038 0.0020 0.0205 0.0018 0.0014 0.0013 0.0039 0.0020 0.0200 0.0019 0.0014 0.0013 
2.1000 2.2000 2.1469 2.1469 0.0606 0.0606 0.0376 -0.0038 -0.0349 0.0312 0.0231 -0.0012 0.0376 -0.0038 -0.0349 0.0312 0.0231 -0.0012 0.0046 0.0020 0.0266 0.0023 0.0017 0.0013 0.0047 0.0020 0.0268 0.0022 0.0016 0.0013 
2.2000 2.3000 2.2457 2.2454 0.1115 0.1012 0.0800 -0.0141 -0.1047 0.0310 0.0230 -0.0046 0.0390 -0.0065 -0.0405 0.0306 0.0227 -0.0043 0.0175 0.0049 0.0387 0.0036 0.0026 0.0016 0.0046 0.0024 0.0182 0.0034 0.0026 0.0016 
2.3000 2.4000 2.3430 2.3425 0.1200 0.0936 0.1196 -0.0236 -0.1867 0.0285 0.0211 -0.0019 0.0443 -0.0044 -0.0331 0.0270 0.0200 -0.0010 0.0179 0.0070 0.0506 0.0029 0.0022 0.0014 0.0073 0.0027 0.0262 0.0025 0.0019 0.0013 
2.4000 2.5000 2.4520 2.4520 0.1188 0.0777 0.1440 -0.0297 -0.2598 0.0309 0.0229 0.0004 0.0327 0.0006 -0.0080 0.0274 0.0203 0.0019 0.0214 0.0099 0.0656 0.0040 0.0030 0.0017 0.0025 0.0023 0.0226 0.0032 0.0024 0.0017 
2.5000 2.6000 2.5476 2.5479 0.1739 0.1121 0.1758 -0.0458 -0.2782 0.0367 0.0272 -0.0003 0.0346 0.0014 -0.0130 0.0313 0.0232 0.0022 0.0192 0.0115 0.0536 0.0038 0.0028 0.0019 0.0022 0.0024 0.0168 0.0033 0.0025 0.0018 
2.6000 2.7000 2.6486 2.6483 0.1250 0.0803 0.1511 -0.0379 -0.3122 0.0406 0.0301 -0.0016 0.0341 -0.0046 -0.0718 0.0379 0.0281 0.0005 0.0253 0.0123 0.0719 0.0058 0.0043 0.0029 0.0029 0.0029 0.0167 0.0043 0.0032 0.0026 
2.7000 2.8000 2.7473 2.7472 0.1111 0.0744 0.1370 -0.0365 -0.2802 0.0388 0.0288 -0.0094 0.0320 -0.0094 -0.0511 0.0373 0.0276 -0.0077 0.0300 0.0125 0.0905 0.0034 0.0026 0.0029 0.0025 0.0029 0.0234 0.0035 0.0026 0.0028 
2.8000 2.9000 2.8394 2.8407 0.2545 0.1717 0.2019 -0.0839 -0.3054 0.0623 0.0462 -0.0222 0.0396 -0.0179 -0.0642 0.0503 0.0373 -0.0159 0.0259 0.0195 0.0592 0.0082 0.0060 0.0050 0.0030 0.0040 0.0133 0.0062 0.0046 0.0043 
2.9000 3.0000 2.9460 2.9484 0.2812 0.1154 0.2647 -0.1436 -0.4880 0.0708 0.0525 -0.0240 0.0325 -0.0172 -0.0818 0.0433 0.0321 -0.0100 0.0402 0.0468 0.1011 0.2153 0.1596 0.0272 0.0044 0.0064 nan 0.0125 0.0093 0.0070 
