zlow zhi meanz CORmeanz fout CORfout stdd bias outbias IQR IQRstdd IQRbias CORstdd CORbias CORoutbias CORIQR CORIQRstdd CORIQRbias estdd ebias eoutbias eIQR eIQRstdd eIQRbias eCORstdd eCORbias eCORoutbias eCORIQR eCORIQRstdd eCORIQRbias
0.0000 0.1000 0.0754 0.0749 0.1117 0.0567 0.5154 0.1352 1.1893 0.0251 0.0186 0.0048 0.0286 0.0074 0.0845 0.0218 0.0162 0.0033 0.0693 0.0363 0.2247 0.0032 0.0024 0.0014 0.0032 0.0020 0.0183 0.0025 0.0019 0.0013
0.1000 0.2000 0.1632 0.1642 0.1017 0.0385 0.5246 0.1399 1.3789 0.0240 0.0178 0.0020 0.0297 0.0014 0.0472 0.0216 0.0160 0.0005 0.0352 0.0198 0.1221 0.0016 0.0012 0.0008 0.0036 0.0012 0.0233 0.0012 0.0009 0.0007
0.2000 0.3000 0.2531 0.2532 0.0581 0.0502 0.1886 0.0232 0.4033 0.0199 0.0147 0.0006 0.0401 0.0064 0.1311 0.0196 0.0145 0.0005 0.0213 0.0041 0.0607 0.0007 0.0005 0.0003 0.0019 0.0008 0.0098 0.0006 0.0005 0.0003
0.3000 0.4000 0.3534 0.3534 0.0703 0.0693 0.0736 0.0087 0.1060 0.0242 0.0180 0.0018 0.0320 0.0065 0.0761 0.0241 0.0179 0.0018 0.0177 0.0013 0.0174 0.0008 0.0006 0.0004 0.0009 0.0006 0.0044 0.0009 0.0006 0.0004
0.4000 0.5000 0.4514 0.4514 0.0660 0.0654 0.0538 -0.0082 -0.0688 0.0275 0.0204 -0.0043 0.0313 -0.0093 -0.0863 0.0275 0.0204 -0.0044 0.0124 0.0010 0.0128 0.0008 0.0006 0.0004 0.0008 0.0006 0.0036 0.0008 0.0006 0.0004
0.5000 0.6000 0.5514 0.5514 0.0475 0.0472 0.0476 -0.0075 -0.1325 0.0164 0.0122 -0.0020 0.0362 -0.0081 -0.1452 0.0164 0.0122 -0.0020 0.0098 0.0009 0.0138 0.0004 0.0003 0.0002 0.0015 0.0007 0.0056 0.0004 0.0003 0.0002
0.6000 0.7000 0.6475 0.6475 0.0013 0.0013 0.0174 -0.0002 0.2232 0.0132 0.0098 -0.0003 0.0174 -0.0002 0.2232 0.0132 0.0098 -0.0003 0.0042 0.0003 nan 0.0004 0.0003 0.0002 0.0043 0.0003 nan 0.0004 0.0003 0.0002
0.7000 0.8000 0.7506 0.7506 0.0091 0.0091 0.0169 0.0017 0.0673 0.0169 0.0125 0.0005 0.0169 0.0017 0.0673 0.0169 0.0125 0.0005 0.0003 0.0003 0.0069 0.0004 0.0003 0.0002 0.0004 0.0003 0.0066 0.0004 0.0003 0.0002
0.8000 0.9000 0.8478 0.8478 0.0052 0.0052 0.0210 -0.0022 0.0388 0.0209 0.0155 -0.0018 0.0210 -0.0022 0.0388 0.0209 0.0155 -0.0018 0.0019 0.0004 0.0411 0.0006 0.0004 0.0003 0.0019 0.0004 0.0425 0.0005 0.0004 0.0003
0.9000 1.0000 0.9481 0.9481 0.0064 0.0064 0.0221 -0.0003 0.1279 0.0156 0.0116 -0.0007 0.0221 -0.0003 0.1279 0.0156 0.0116 -0.0007 0.0024 0.0004 0.0434 0.0004 0.0003 0.0002 0.0023 0.0004 0.0449 0.0004 0.0003 0.0003
