Bin N_G z_true_mean_G z_phot_mean_G N_R z_true_mean_R z_phot_mean_R fout COR_Outlier_Bias
0.05 536 0.07695082276119408 0.20164809888059687 43 1.5306184883720932 0.07918416279069769 0.08022388059701492 1.344936643462302
0.15000000000000002 1502 0.16280283821571226 0.30398027097203767 134 1.6116069104477615 0.1538318358208956 0.08921438082556592 1.2634207424080384
0.25 5108 0.25282720516836366 0.28177508320281935 247 0.829127408906883 0.2560583117408906 0.04835552075176194 0.4562440229161985
0.35000000000000003 6100 0.3534849619672123 0.3675409262295087 353 0.5294166118980168 0.35243639660056675 0.05786885245901639 0.1308602872137284
0.45 7046 0.45070947232472336 0.4368281632131683 497 0.3549213923541249 0.4656852756539237 0.07053647459551518 -0.0755713966290484
0.55 6676 0.5517911625224691 0.5438167944877195 241 0.3572646639004148 0.5306710331950212 0.03609946075494308 -0.11328781007415384
0.6500000000000001 6909 0.6478170159212603 0.6473750728035863 13 0.9086247692307693 0.6520252307692308 0.001881603705311912 0.15532422488611647
0.7500000000000001 7782 0.7504802271909569 0.7534548411719341 35 0.8696365714285713 0.7547307714285714 0.004497558468260087 0.06548343590421692
0.8500000000000001 6535 0.8484086578423842 0.8450892032134675 55 0.7871047818181819 0.8554492363636366 0.008416220351951033 -0.036834451304848484
0.9500000000000001 6103 0.9471646038014085 0.9462390311322267 43 1.2082037441860465 0.9620075813953487 0.0070457152220219565 0.12548175915589835
1.05 5103 1.0483870297864009 1.0625750252792496 184 1.3603106141304344 1.0640038586956522 0.03605722124240643 0.14355920614510548
1.1500000000000001 4302 1.1492964207345422 1.159162440492794 112 1.2836988749999991 1.1359985357142854 0.02603440260344026 0.06914814631945532
