z_true z_phot
0.014823 0.252435
0.017027 0.055589
0.017182 0.022209
0.017908 0.020425
0.018077 0.023789
0.020265 0.075824
0.021897 0.054505
0.022575 0.023696
0.02277 0.034084
0.023061 0.054966
0.023081 0.042611
0.023579 0.023732
0.023584 0.049405
0.023857 2.221695
0.030215 0.040268
0.03055 0.014874
0.0306 0.055807
0.030858 0.055768
0.033842 0.068587
0.034084 0.015115
0.035307 0.056339
0.035914 0.041816
0.03624 0.035859
0.036954 0.089862
0.039615 0.057774
0.039717 0.061512
0.040095 0.055542
0.040352 0.046636
0.043253 0.066752
0.04363 0.09286
0.044043 0.041329
0.044146 0.062839
0.046039 0.042885
0.046636 0.054963
0.048566 0.054964
0.04869 0.054404
0.049011 0.055745
0.049094 0.024708
0.049354 0.03484
0.049663 0.041329
0.050019 0.023732
0.050128 0.081781
0.053067 0.046039
0.053854 0.07086
0.053968 2.504867
0.054095 0.053964
0.054139 0.078649
0.054144 0.090194
0.054244 0.092266
0.05429 0.02449
0.05433 0.226088
0.054422 0.015477
0.05444 0.069304
0.054511 0.073433
0.05455 0.039871
0.054576 0.080734
0.054671 0.079504
0.054678 0.113475
0.054685 0.039416
0.054885 0.094299
0.054926 0.050276
0.054963 0.046636
0.054964 0.08591
0.055042 0.092663
0.055047 0.042203
0.055052 0.051609
0.055094 0.030832
0.055129 0.054712
0.055136 0.063563
0.055166 0.054121
0.055217 0.047741
0.055258 0.049405
0.055271 0.02449
0.055294 0.097704
0.055405 0.056834
0.055448 0.051135
0.055484 0.079318
0.055526 0.063407
0.055724 0.022951
0.055759 0.054838
0.055779 0.068108
0.055879 0.06834
0.055962 0.03484
0.055976 0.115205
0.056155 0.040459
0.05632 0.03743
0.056446 0.081652
0.056537 0.054411
0.056605 2.3927
0.056985 0.05652
0.057024 0.056329
0.057151 0.078293
0.057242 0.115784
0.057296 0.09775
0.057474 0.049156
0.058315 0.024671
0.058528 2.330537
0.058603 0.055253
0.05978 0.091463
0.060398 0.081346
0.060517 0.079697
0.060676 0.050045
0.060821 2.24834
0.060914 0.07979
0.061006 0.055801
0.061311 0.09317
0.061605 0.07935
0.061916 0.07726
0.063423 0.063709
0.06359 0.050244
0.064065 0.058678
0.065415 2.3253
0.065545 0.057351
0.065564 0.055526
0.066211 0.070904
0.066752 0.055333
0.06689 0.078079
0.067604 0.079504
0.067729 0.045518
0.068042 0.08089
0.068235 0.108166
0.068587 0.06803
0.068894 0.087793
0.069077 0.078856
0.06909 0.056013
0.069193 0.082742
0.069194 0.096574
0.069341 0.076742
0.069344 0.107953
0.069532 0.080532
0.069566 0.078231
0.070062 0.074438
0.070203 0.055735
0.070953 0.079697
0.071161 0.078671
0.071186 0.055526
0.071218 0.055233
0.071223 0.099303
0.071457 0.079388
0.07187 0.054813
0.072702 0.063407
0.072754 0.087103
0.072822 0.097884
0.072838 0.094479
0.072937 0.071541
0.073406 0.104173
0.073686 0.076388
0.073787 0.077308
0.074062 0.07707
0.074497 0.181479
0.074514 0.0778
0.07455 0.055029
0.074888 0.080457
0.075503 0.056099
0.075539 0.094095
0.075571 0.083395
0.075611 0.077252
0.075626 0.102002
0.07594 0.078508
0.075968 0.056679
0.076003 0.107815
0.076064 0.166868
0.076506 0.082168
0.076602 0.078666
0.07667 0.029777
0.076688 0.084053
0.076705 0.080237
0.076762 2.449798
0.076787 0.077333
0.07681 0.094958
0.076828 0.077602
0.076866 0.078527
0.076883 2.52277
0.076914 0.05708
0.076973 0.077014
0.076987 0.08417
0.077001 0.055768
0.077048 0.054007
0.077106 0.070904
0.077161 0.078577
0.077207 0.030449
0.077236 0.095428
0.077242 0.128875
0.077251 0.079545
0.077343 0.07792
0.077373 0.103816
0.077443 0.092675
0.077496 0.084273
0.077522 0.077641
0.077523 0.226575
0.077527 2.334568
0.077558 0.08018
0.077591 0.092291
0.077598 0.259095
0.077626 0.082706
0.077626 0.0947
0.077673 0.103461
0.077723 0.097888
0.077746 0.056013
0.07779 0.079813
0.077863 0.096729
0.077868 0.094463
0.077913 0.054404
0.077977 2.624028
0.078059 0.079985
0.078091 0.101483
0.078093 0.07791
0.078139 0.078126
0.078167 0.09286
0.078182 0.081385
0.078199 0.078084
0.078297 0.083392
0.078318 0.05646
0.078324 0.07287
0.078326 0.090215
0.078327 0.082302
0.078329 0.079696
0.078335 0.081434
0.078395 0.055475
0.078407 0.131187
0.078481 2.625551
0.07853 0.084337
0.078563 0.055014
0.078589 0.081579
0.078599 0.079345
0.078613 0.056549
0.078641 0.093746
0.078666 0.077641
0.078673 0.07902
0.078701 0.079362
0.078703 0.09904
0.078741 0.056679
0.078763 0.094318
0.078764 0.081579
0.078797 0.132687
0.0788 0.097617
0.078805 0.055769
0.078836 0.082282
0.078848 0.07086
0.078877 0.076058
0.078892 0.055492
0.078952 0.081565
0.079025 0.078732
0.079106 0.093566
0.079146 0.094948
0.079192 0.08172
0.079287 0.079504
0.079437 0.077937
0.079495 0.056
0.079506 0.078059
0.079529 0.056434
0.079535 0.079838
0.079547 0.081804
0.079588 0.117868
0.079648 0.068977
0.079673 0.114851
0.079694 0.078741
0.079695 0.097098
0.07971 0.096574
0.079742 0.053921
0.079773 0.090553
0.079784 0.069304
0.079791 0.08417
0.079795 0.090716
0.079839 0.094772
0.079854 0.078702
0.079869 0.133564
0.079898 0.057445
0.079924 0.048709
0.079989 0.102904
0.080048 0.085327
0.080057 0.099754
0.080154 0.096574
0.080164 0.096222
0.080169 0.080697
0.080179 0.070868
0.080202 0.07453
0.080279 0.078247
0.080303 0.07791
0.08032 0.096852
0.080374 0.081907
0.080432 2.538577
0.080457 0.078555
0.080545 0.085087
0.080551 0.105767
0.080558 0.069153
0.080641 0.097424
0.080667 0.081579
0.080862 0.076882
0.080869 0.073433
0.080871 0.077213
0.080877 0.078735
0.08092 0.061806
0.080938 0.106096
0.080995 0.079439
0.081001 0.056924
0.081043 0.09756
0.081093 0.074646
0.081145 0.054587
0.081174 0.085087
0.081216 0.106478
0.081227 0.09568
0.081326 0.185875
0.081369 0.099303
0.081401 0.056259
0.081493 0.099958
0.081497 0.058861
0.081583 2.624829
0.081663 0.096255
0.081671 0.085433
0.081724 0.083519
0.081859 0.078622
0.081953 0.078322
0.081976 0.096613
0.081999 0.259095
0.082117 0.126156
0.082168 0.069414
0.082236 0.069077
0.082256 2.630516
0.082302 0.087667
0.082481 0.054725
0.082587 0.080475
0.082601 0.105444
0.082608 0.081566
0.082653 0.0782
0.082688 0.078378
0.08275 0.196184
0.082761 0.084008
0.082813 0.082869
0.082814 0.078314
0.082869 0.079342
0.082971 0.083804
0.082997 0.082916
0.08303 0.106082
0.083136 0.078348
0.08318 0.084253
0.083195 0.098799
0.083224 0.083392
0.083285 0.077928
0.083387 0.054007
0.083397 0.097316
0.083447 0.1991
0.083528 0.055355
0.083555 2.569489
0.083663 0.078563
0.083792 0.078435
0.083917 0.105483
0.083959 0.108761
0.083963 0.081169
0.084089 0.080082
0.08416 0.09044
0.08417 0.088709
0.08422 0.061628
0.084237 0.076947
0.084322 0.079526
0.084328 0.259095
0.084395 0.152594
0.084467 0.094568
0.084529 0.115715
0.084578 0.079837
0.084729 0.095782
0.084798 0.077153
0.084871 0.081162
0.084872 0.097691
0.084946 0.116794
0.084946 0.12228
0.085002 0.101693
0.085044 0.095181
0.085247 0.089576
0.085251 0.094319
