zphoto zspec
0.252435 0.014823
2.221695 0.023857
2.504867 0.053968
0.226088 0.05433
2.3927 0.056605
2.330537 0.058528
2.24834 0.060821
2.3253 0.065415
0.181479 0.074497
0.166868 0.076064
2.449798 0.076762
2.52277 0.076883
0.226575 0.077523
2.334568 0.077527
0.259095 0.077598
2.624028 0.077977
2.625551 0.078481
2.538577 0.080432
0.185875 0.081326
2.624829 0.081583
0.259095 0.081999
0.196184 0.08275
0.1991 0.083447
2.569489 0.083555
0.259095 0.084328
2.603292 0.085339
0.252564 0.086387
2.591116 0.086579
2.428356 0.087543
2.635035 0.088441
2.524643 0.088695
0.208843 0.089409
2.240666 0.089734
0.023732 0.091688
2.503872 0.094552
0.023933 0.094584
2.888418 0.094877
0.198213 0.096222
0.562819 0.097099
0.263842 0.097335
2.335847 0.097688
2.428819 0.097792
2.377647 0.099876
0.257296 0.100446
2.521475 0.101092
2.514678 0.101978
2.59462 0.102262
2.477945 0.103077
2.355458 0.103672
2.348594 0.105482
2.528568 0.105592
0.023076 0.10638
2.505007 0.106768
2.416548 0.10807
2.481155 0.108305
2.449798 0.108721
2.424985 0.108857
2.498198 0.111522
0.216242 0.113155
2.605604 0.114582
0.263827 0.119208
2.498181 0.119733
2.53259 0.122622
2.594452 0.124828
2.859336 0.12501
2.192186 0.126378
2.578528 0.126626
0.03009 0.127035
2.449685 0.127192
2.711799 0.127689
2.237506 0.12779
2.529744 0.128369
2.266863 0.128415
2.617811 0.128768
2.31323 0.128798
2.414829 0.128952
2.370374 0.130079
0.054964 0.130874
0.23191 0.130917
0.545722 0.131302
0.570438 0.131489
2.503568 0.131617
0.023789 0.131843
0.237835 0.132191
0.059894 0.132256
2.368312 0.132621
0.222989 0.132624
2.715697 0.132695
2.504462 0.133054
0.556508 0.133286
0.521738 0.13347
2.325745 0.13348
2.248928 0.134025
0.034084 0.134388
2.667666 0.13974
2.468437 0.140337
2.167724 0.142098
2.380715 0.142231
0.51621 0.14322
2.541746 0.14473
2.390482 0.145684
0.57718 0.146701
0.063832 0.147203
2.676791 0.148047
2.78134 0.15013
0.053921 0.150249
2.536224 0.150357
2.567774 0.150469
2.858922 0.153973
2.698364 0.154146
2.283842 0.15586
2.411254 0.15661
2.543172 0.158298
2.415901 0.158777
2.750021 0.160692
2.996193 0.161132
0.085597 0.162672
2.865411 0.164241
0.094318 0.165812
0.083846 0.16583
0.077126 0.166166
2.678062 0.167518
2.5232 0.168061
0.258622 0.169304
0.071585 0.170793
0.096321 0.170957
0.094704 0.172011
0.080357 0.172931
2.74784 0.173737
2.739298 0.173767
2.450234 0.174294
0.097757 0.177527
2.805353 0.177682
2.560132 0.178
2.922352 0.178437
2.86662 0.178753
2.757326 0.179813
0.258622 0.179818
0.0778 0.179901
2.538248 0.179932
0.109297 0.180337
0.260092 0.180767
0.541935 0.181437
0.092677 0.181501
0.043801 0.181638
0.54552 0.181723
2.261414 0.182445
2.997824 0.182633
2.536952 0.183019
0.084631 0.183097
0.10768 0.183138
0.616771 0.183251
2.464773 0.183332
2.459088 0.183364
0.094306 0.18398
2.427871 0.184301
0.528262 0.184347
0.114817 0.184505
0.265273 0.184618
2.44927 0.186276
0.54552 0.186435
0.566876 0.186484
2.680863 0.187598
0.554632 0.189658
0.276455 0.190101
2.827067 0.190598
2.789841 0.193011
2.456631 0.193491
2.789841 0.194476
0.530427 0.195492
0.531402 0.196711
0.569634 0.197243
0.522315 0.197595
0.519813 0.198217
0.124124 0.199078
2.35815 0.199355
2.724178 0.199988
2.789757 0.200005
0.128894 0.200414
2.268354 0.201703
0.534002 0.202324
2.783574 0.202469
0.594364 0.202925
2.489687 0.203143
